作業研究,[2]3~4 [4]2
財務管理,[2]2 [5]3~4
運輸風險與危機管理,[3]6~8
電信經營與管理,[1]2~3 [3]2
交通流理論,[3]6~8
通訊傳播與科技使用,[3]6~8
運輸安全,[2]6~8
智慧型運輸系統,[5]5~7
交通行政法規,[4]7~9
交通流理論,[3]6~8
通訊傳播與科技使用,[3]6~8
專題研究（二）,未定
通識課程,[4]5~6
