系所名稱,課程代碼,年級,課程名稱,學分數,老師名稱,課程時間
統計系 STAT,H2-152 H240700  [STAT4009],4,統計資料分析,3  必修,溫敏杰,[2]6~8
統計系 STAT,H2-158 H244101  [STAT4021],4,市場調查實務,1  必修,趙昌泰,[5]9~A
統計系 STAT,H2-160 H243000  [STAT4018],4,統計問題,3  選修,楊明宗,[4]2~4
統計系 STAT,H2-161 H143700  [ACC4015],4,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,[5]2~4
統計系 STAT,H2-162 F743000  [CSIE5009],4,影像處理、電腦視覺及深度學習概論,3  選修,連震杰,[2]2~4
統計系 STAT,H200000-Z4  [STAT],4,通識課程,2  必修,,[5]1~2
會計系 ACC,A119110-Zj  [FLC6004],1,外國語言（一）,2  必修,,[2]5~6
會計系 ACC,H1-003 H111710  [ACC1006],1,初級會計學（一）,3  必修,林囿成,[2]2~4
,H111710  [ACC1006],1,,,林囿成,[5]1~2
會計系 ACC,A718310-Zg  [CL1078],1,大學國文（一）,2  必修,,[1]7~8
會計系 ACC,H1-005 H115611  [ACC1011],1,微積分（一）,3  必修,黃秀娟,[3]7~9
會計系 ACC,H1-006 H111210  [ACC1003],1,經濟學（一）,3  必修,伍弘歷,[2]7~9
會計系 ACC,H1-007 H111100  [ACC1002],1,民法概要,3  必選,陳柏諭,[4]6~8
會計系 ACC,A215500-Zk  [OPE0300],1,體育（一）,0  必修,,[5]7~8
會計系 ACC,H1-010 H112200  [ACC1012],1,初級會計學,3  選修,吳思蓉,[4]2~4
會計系 ACC,H100000-Z1  [ACC],1,通識課程,2  必修,,[3]3~4
會計系 ACC,H1-016 H117910  [ACC0002],1,服務學習（一）,0  必修,黄馨儀,[1]9
會計系 ACC,H1-051 H120310  [ACC2004],2,統計學（一）,3  必修,林良靖,[3]2~4
會計系 ACC,H1-052 H122110-1  [ACC2002],2,中級會計學（一）,4  必修,李品陞,[3]6~8
,H122110-1  [ACC2002],2,,,李品陞,[3]5 [3]9
會計系 ACC,H1-053 H130610  [ACC2008],2,成本會計（一）,3  必修,吳思蓉,[2]2~4
,H130610  [ACC2008],2,,,吳思蓉,[2]1 [5]N
會計系 ACC,H1-054 H121800  [ACC2006],2,商業應用軟體,3  選修,顏盟峯,[4]2~4
會計系 ACC,H125000-Z2  [ACC],2,通識課程,2  必修,,[2]5~6
會計系 ACC,H125000-Z5  [ACC],2,通識課程,2  必修,,[1]7~8
會計系 ACC,H110030-Z  [ACC],2,體育（三）,0  必修,,[4]5~6
會計系 ACC,H1-062 H122121  [ACC2003],2,中級會計學（二）,4  選修,謝喻婷,[3]2~4
,H122121  [ACC2003],2,,,謝喻婷,[3]9~A
會計系 ACC,H1-070 H122600  [ACC2015],2,區塊鏈與去中心化金融,2  選修,劉梧柏,未定
會計系 ACC,H1-071 H122900  [ACC2018],2,計算思維與商業分析,3  選修,吳思蓉,未定
會計系 ACC,H1-072 H123000  [ACC2019],2,企業併購財務會計,3  選修,廖麗凱,未定
會計系 ACC,H1-101 H122130  [ACC3024],3,中級會計學（三）,4  必修,周庭楷,[4]2~4
,H122130  [ACC3024],3,,,周庭楷,[4]1 [4]N
會計系 ACC,H1-102 H130511  [ACC3005],3,高級會計學（一）,3  必修,劉梧柏,[2]6~8
,H130511  [ACC3005],3,,,劉梧柏,[2]5 [2]9
會計系 ACC,H1-103 H120402  [ACC3001],3,公司法及商業會計法,3  必修,李育禹,[3]6~8
會計系 ACC,H1-105 H133600  [ACC3014],3,固定收益型證券,3  選修,王澤世,[2]2~4
會計系 ACC,H1-106 H144500  [ACC4025],3,會計與金融數據分析,3  選修,劉梧柏,[1]6~8
會計系 ACC,H1-107 H140700  [ACC4005],3,管理決策會計,3  選修,楊朝旭,[4]6~8
會計系 ACC,H125000-Z3  [ACC],3,通識課程,2  必修,,[3]3~4
會計系 ACC,H1-151 H140620  [ACC3017E],4,審計學（二）,3  必修,黄馨儀,[4]6~8
,H140620  [ACC3017E],4,,,黄馨儀,[4]5 [4]9
會計系 ACC,H1-152 H132801  [ACC4002],4,所得稅法,3  選修,林志隆,[3]2~4
會計系 ACC,H1-153 H143700  [ACC4015],4,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,[5]2~4
會計系 ACC,H1-154 H143900  [ACC3026],4,企業經營與會計實務,3  選修,林姿妤,[5]6~8
會計系 ACC,H1-155 H144300  [ACC4019],4,會計師業務實戰研討,3  選修,廖鴻儒,[1]6~8
會計系 ACC,H1-156 H144201  [ACC5001],4,會計師業務實務研討及專業趨勢發展,3  選修,蘇彥達,[2]6~8
會計系 ACC,H125000-Z4  [ACC],4,通識課程,2  必修,,[3]3~4
工資系 IIM,A718310-Zi  [CL1078],1,大學國文（一）,2  必修,,[4]7~8
工資系 IIM,A119110-Zl  [FLC6004],1,外國語言（一）,2  必修,,[1]5~6
工資系 IIM,H3-003 D511211-1  [MATH1051],1,微積分（一）,3  必修,夏杼*,[3]7~8 [5]6
,D511211-1  [MATH1051],1   A,,,夏杼,[5]5
,D511211-1  [MATH1051],1   B,,,洪英志,[5]5
,D511211-1  [MATH1051],1   C,,,黃柏嶧,[5]5
工資系 IIM,H3-004 D511211-2  [MATH1051],1,微積分（一）,3  必修,關汝琳*,[3]7~8 [5]6
,D511211-2  [MATH1051],1   A,,,關汝琳,[5]5
,D511211-2  [MATH1051],1   B,,,章源慶,[5]5
,D511211-2  [MATH1051],1   C,,,舒宇宸,[5]5
工資系 IIM,H3-005 D511211-3  [MATH1051],1,微積分（一）,3  必修,陳旻宏*,[3]7~8 [5]6
,D511211-3  [MATH1051],1   A,,,陳旻宏,[5]5
,D511211-3  [MATH1051],1   B,,,劉育佑,[5]5
,D511211-3  [MATH1051],1   C,,,劉之中,[5]5
工資系 IIM,H3-006 D511211-4  [MATH1051],1,微積分（一）,3  必修,孫逸軒*,[3]7~8 [5]6
,D511211-4  [MATH1051],1   A,,,孫逸軒,[5]5
,D511211-4  [MATH1051],1   B,,,林敏雄,[5]5
,D511211-4  [MATH1051],1   C,,,李宗儒,[5]5
工資系 IIM,H3-007 H311210  [IIM2011],1,經濟學（一）,3  必修,蔡仰虔,[5]2~4
工資系 IIM,H3-008 H318300  [IIM2112],1,工業管理概論,3  必修,王俊涵,[2]3~4 [4]2
工資系 IIM,H3-009 H311100  [IIM2113],1,計算機概論,3  必修,李昇暾,[1]2~3 [3]2
工資系 IIM,H3-010 H321800  [IIM3226],1,管理數學,3  選修,林仁彥,[3]5~6 [5]1
工資系 IIM,H3-011 H317910  [IIM0100],1,服務學習（一）,0  必修,王逸琳,[3]1
工資系 IIM,H300000-Z1  [IIM],1,通識課程,2  必修,,[4]5~6
工資系 IIM,A215500-Zm  [OPE0300],1,體育（一）,0  必修,,[1]7~8
工資系 IIM,H3-052 H321110  [IIM3011],2,統計學（一）,3  必修,胡政宏,[1]2~3 [3]2
工資系 IIM,H3-053 H320100  [IIM3113],2,管理學,3  必修,李旻陽,[2]1 [4]3~4
工資系 IIM,H3-054 H333401  [IIM3112],2,資料結構,3  必修,王逸琳,[2]3~4 [4]2
工資系 IIM,H3-055 H313500  [IIM3111],2,會計學,3  必修,余駿展,[4]6~8
工資系 IIM,H3-056 H321700  [IIM3225],2,企業通訊網路,3  選修,王惠嘉,[3]3~4 [5]2
工資系 IIM,H300000-Z5  [IIM],2,通識課程,2  必修,,[1]7~8
工資系 IIM,H310030-Z  [IIM],2,體育（三）,0  必修,,[2]7~8
工資系 IIM,H300000-Z2  [IIM],2,通識課程,2  必修,,[2]5~6
工資系 IIM,H3-101 H330500  [IIM4113],3,生產與作業管理,3  必修,吳政翰,[3]3~4 [5]2
工資系 IIM,H3-102 H330400  [IIM4112],3,系統分析與設計,3  必修,王維聰,[1]5~6 [3]7
工資系 IIM,H3-103 H333900  [IIM4122],3,品質管理,3  必修,張裕清,[2]5~6 [5]8
工資系 IIM,H3-104 H330300  [IIM4211],3,隨機過程,3  選修,莊雅棠,[1]2~3 [3]2
工資系 IIM,H3-105 H337100  [IIM4213],3,人因工程學,3  選修,林明毅,[3]8 [5]5~6
工資系 IIM,H3-107 H337300  [IIM4218],3,機率論,3  選修,蔡青志,[2]7~8 [5]7
工資系 IIM,H310051-Z  [IIM],3,體育（五）,1  選修,,[4]7~8
工資系 IIM,H300000-Z3  [IIM],3,通識課程,2  必修,,[4]5~6
工資系 IIM,H310071-Z  [IIM],4,體育（七）,1  選修,,未定
工資系 IIM,H300000-Z4  [IIM],4,通識課程,2  必修,,[4]5~6
工資系 IIM,H3-161 H335431  [IIM4794],4,工業與資訊管理專題（二）,2  選修,王逸琳*王惠嘉李昇暾王維聰劉任修吳政翰侯建任李旻陽林仁彥,未定
工資系 IIM,H3-162 H342100  [IIM4425],4,供應鏈系統,3  選修,謝中奇,[2]3~4 [4]2
工資系 IIM,H3-163 H344900  [IIM4433],4,雲端行動應用,3  選修,劉任修,[4]2~4
工資系 IIM,H3-164 H317930  [IIM0300],4,服務學習（三）,0  必修,王逸琳,未定
工資系 IIM,H3-165 H335900  [IIM3228],4,網頁程式開發,3  選修,侯建任,[2]2~4
企管系 BA,A718310-Zj  [CL1078],1,大學國文（一）,2  必修,,[1]7~8
企管系 BA,A119110-Zm  [FLC6004],1,外國語言（一）,2  必修,,[4]3~4
企管系 BA,H4-003 D511211-1  [MATH1051],1,微積分（一）,3  必修,夏杼*,[3]7~8 [5]6
,D511211-1  [MATH1051],1   A,,,夏杼,[5]5
,D511211-1  [MATH1051],1   B,,,洪英志,[5]5
,D511211-1  [MATH1051],1   C,,,黃柏嶧,[5]5
企管系 BA,H4-004 D511211-2  [MATH1051],1,微積分（一）,3  必修,關汝琳*,[3]7~8 [5]6
,D511211-2  [MATH1051],1   A,,,關汝琳,[5]5
,D511211-2  [MATH1051],1   B,,,章源慶,[5]5
,D511211-2  [MATH1051],1   C,,,舒宇宸,[5]5
企管系 BA,H4-005 D511211-3  [MATH1051],1,微積分（一）,3  必修,陳旻宏*,[3]7~8 [5]6
,D511211-3  [MATH1051],1   A,,,陳旻宏,[5]5
,D511211-3  [MATH1051],1   B,,,劉育佑,[5]5
,D511211-3  [MATH1051],1   C,,,劉之中,[5]5
企管系 BA,H4-006 D511211-4  [MATH1051],1,微積分（一）,3  必修,孫逸軒*,[3]7~8 [5]6
,D511211-4  [MATH1051],1   A,,,孫逸軒,[5]5
,D511211-4  [MATH1051],1   B,,,林敏雄,[5]5
,D511211-4  [MATH1051],1   C,,,李宗儒,[5]5
企管系 BA,H4-007 H415510  [BA1100],1,經濟學（一）,3  必修,方世杰,[2]2~4
企管系 BA,H4-008 H415710  [BA1103],1,會計學（一）,3  必修,黄馨儀,[1]N~6
企管系 BA,H4-009 H430700  [BA1102],1,管理學,3  必修,葉時碩,[3]2~4
企管系 BA,H4-016 H417910  [BA1107],1,服務學習（一）,0  必修,周信輝,[1]9
企管系 BA,H425000-Z1  [BA],1,通識課程,2  必修,,[4]5~6
企管系 BA,A215500-Zn  [OPE0300],1,體育（一）,0  必修,,[2]7~8
企管系 BA,H425000-Z5  [BA],2,通識課程,2  必修,,[1]7~8
企管系 BA,H4-053 H423300  [BA1110E],2,專業經理人必備商業英文,3  選修,林泰宇,未定
企管系 BA,H410030-Z  [BA],2,體育（三）,0  必修,,[4]5~6
企管系 BA,H425000-Z2  [BA],2,通識課程,2  必修,,[3]3~4
企管系 BA,H4-056 H421700  [BA2217],2,管理決策分析,3  選修,江宣怡,未定
企管系 BA,H4-057 H420710  [BA1106],2,統計學（一）,3  必修,張欣民,[4]2~4
企管系 BA,H4-058 H440800  [BA1201],2,財務管理,3  必修,蕭惠鈺,[2]6~8
企管系 BA,H4-059 H420200  [BA1206],2,行銷管理,3  必修,蔡惠婷,[1]6~8
企管系 BA,H4-060 H423100  [BA2000],2,初級績效管理應用,3  選修,林泰宇,[4]6~8
企管系 BA,H4-061 H436900  [BA2535],2,品質管制,3  選修,黃瀞瑩,[5]2~4
企管系 BA,H4-062 H423800  [BA1114E],2,氣候變遷與永續投資,1  選修,蕭惠鈺,未定
企管系 BA,H425000-Z3  [BA],3,通識課程,2  必修,,[3]3~4
企管系 BA,H4-102 H435200  [BA3330],3,商事法,3  必修,林佑鴻,[3]6~8
企管系 BA,H4-103 H430201  [BA1300],3,資訊管理,3  必修,黃振皓,[1]6~8
企管系 BA,H4-104 H435300  [BA5001],3,企業管理實務,3  選修,周信輝,[4]6~8
企管系 BA,H4-105 H434700  [BA3002],3,員工訓練與發展,2  選修,王瑜琳,[5]5~6
企管系 BA,H4-106 H434600  [BA3001],3,商業心理概論,2  選修,賴孟寬,[2]7~8
企管系 BA,H4-107 H435400  [BA3331],3,企業智慧策略,3  選修,張心馨,[2]2~4
企管系 BA,H4-108 H448400  [BA4613],3,社群與創新,3  選修,陳淑惠,[2]6~8
企管系 BA,H4-109 H443700  [BA4427],3,科技管理,3  選修,江宣怡,[4]2~4
企管系 BA,H410051-Z  [BA],3,體育（五）,1  選修,,未定
企管系 BA,H4-151 H440900  [BA1400],4,企業政策,3  必修,周信輝,[1]6~8
企管系 BA,H4-152 H445900  [BA4750],4,領導學,3  選修,李憲達,[4]7~9
企管系 BA,H425000-Z4  [BA],4,通識課程,2  必修,,[3]3~4
企管系 BA,H410071-Z  [BA],4,體育（七）,1  選修,,未定
企管系 BA,H4-181 H143700  [ACC4015],4,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,[5]2~4
交管系 TCM,A718310-Zk  [CL1078],1,大學國文（一）,2  必修,,[1]7~8
交管系 TCM,A119110-Zn  [FLC6004],1,外國語言（一）,2  必修,,[4]3~4
交管系 TCM,H5-004 H511100  [TCM1009],1,計算機概論,3  必修,李威勳,[2]2 [5]3~4
交管系 TCM,H5-005 H511111  [TCM1001],1,經濟學（一）,3  必修,盧筱涵,[2]3~4 [4]2
交管系 TCM,H5-006 H511310  [TCM1003],1,會計學（一）,3  必修,林松宏,[2]6~8
交管系 TCM,H5-007 H511911  [TCM1011],1,運輸學,3  必修,胡大瀛,[3]3~4 [5]2
交管系 TCM,H5-008 D511211-1  [MATH1051],1,微積分（一）,3  必修,夏杼*,[3]7~8 [5]6
,D511211-1  [MATH1051],1   A,,,夏杼,[5]5
,D511211-1  [MATH1051],1   B,,,洪英志,[5]5
,D511211-1  [MATH1051],1   C,,,黃柏嶧,[5]5
交管系 TCM,H5-009 D511211-2  [MATH1051],1,微積分（一）,3  必修,關汝琳*,[3]7~8 [5]6
,D511211-2  [MATH1051],1   A,,,關汝琳,[5]5
,D511211-2  [MATH1051],1   B,,,章源慶,[5]5
,D511211-2  [MATH1051],1   C,,,舒宇宸,[5]5
交管系 TCM,H5-010 D511211-3  [MATH1051],1,微積分（一）,3  必修,陳旻宏*,[3]7~8 [5]6
,D511211-3  [MATH1051],1   A,,,陳旻宏,[5]5
,D511211-3  [MATH1051],1   B,,,劉育佑,[5]5
,D511211-3  [MATH1051],1   C,,,劉之中,[5]5
交管系 TCM,H5-011 D511211-4  [MATH1051],1,微積分（一）,3  必修,孫逸軒*,[3]7~8 [5]6
,D511211-4  [MATH1051],1   A,,,孫逸軒,[5]5
,D511211-4  [MATH1051],1   B,,,林敏雄,[5]5
,D511211-4  [MATH1051],1   C,,,李宗儒,[5]5
交管系 TCM,A215500-Zo  [OPE0300],1,體育（一）,0  必修,,[5]7~8
交管系 TCM,H5-014 H517910  [TCM0001],1,服務學習（一）,0  必修,鄭永祥,[3]1
交管系 TCM,H525000-Z1  [TCM],1,通識課程,2  必修,,[4]5~6
交管系 TCM,H5-053 H522311  [TCM2004],2,統計學（一）,3  必修,沈宗緯,[2]6~8
交管系 TCM,H5-054 H527512  [TCM2022],2,管理數學,3  必修,林珮珺,[3]2~4
交管系 TCM,H5-055 H533402  [TCM2021],2,運輸工程,3  必修,傅強,[2]2 [5]3~4
交管系 TCM,H5-056 H521000  [TCM2102],2,軌道運輸,3  選修,鄭永祥,[4]7~9
